"Plant_I.D." "Year" "ElectricityKWH" "Sulfur_Dioxide_Daily" "Nitrous_Oxide_Daily" "Dollars_Millions" "Employees" "Heat_Content_of_Coal_Daily" "Heat_Content_of_Oil_Daily" "Heat_Content_of_Gas_Daily"
"77" 6002 4792413000 0.02153224 39.8663835616438 990999.180821918 0.001819356 46941401600000 0.426887666714121 0 9.08404589589041e-09
"78" 6004 7189766000 0.03513815 73.6895068493151 1118653.49315068 0.0014168924 72089403800000 0.183541470805479 0 6.58031676863014e-08
"79" 6016 1944859000 0.00856431 20.0767945205479 434293.271232877 0.0006285048 2.0088068e+13 0.0193353078633534 0 2.58228393123288e-08
"80" 6017 4303296000 0.01383127 27.2453424657534 947518.824657534 0.0013397076 43712277200000 0.10982977480371 0 2.87692928284931e-08
"81" 6095 4675830000 0.01425756 55.7999178082192 602466.95890411 0.0014554848 48495545200000 0.0172698171466685 0 6.54059976164384e-09
"82" 6139 7848961000 0.03401923 150.60802739726 584287.210958904 0.0007277424 80835383800000 0.130306148383562 0 1.56048132493151e-08
"83" 6146 13856839000 0.03815261 114.944712328767 1183448.71506849 0.00385924 156526479400000 0.431406426969863 0 7.04559309476712e-08
"84" 6147 13159790000 0.0817277 116.313178082192 878301.608219178 0.0029109696 148148032600000 0.434664080679452 0 5.31199170764384e-08
"85" 6155 5899148000 0.0580199 56.5675068493151 681830.224657534 0.001488564 57795830400000 0.0517447603726027 0 2.44293195649315e-08
"86" 6178 4002559000 0.01175759 35.1926849315068 361653.583561644 0.0006670972 37606760800000 0.0356251074410959 0 4.94920557369863e-09
"87" 6193 6895029000 0.02039948 79.907698630137 529554.882191781 0.000909678 69381191600000 0 0.225952634169863 9.35961198904110e-09
"88" 6248 3007481000 0.01154875 57.6634794520548 558520.476712329 0.0006781236 31974846800000 0.0781559011765479 0 5.22133512e-09
"89" 6264 7073740000 0.03019894 55.8777808219178 871892.309589041 0.0013617604 66429386400000 0.19779609338206 0 1.27511946739726e-08
"90" 8042 11472489000 0.07284303 125.38895890411 745432.473972603 0.0010034024 1.03845577e+14 0.135693933292553 0 3.08047804035616e-08
"91" 8102 12241363000 0.35552362 164.904602739726 1332646.16712329 0.002012318 123518626600000 0.154590344823255 0 1.50215846789589e-07
"92" 8226 3205023000 0.04098583 27.1374246575342 465247.84109589 0.0008876252 32410648600000 0.121400242477644 0 1.73673763758904e-08
"93" 3 9293690000 0.05362556 77.3279726027397 960205.801953425 0.002508506 90038790400000 0.0380728463879342 0.550476030673973 2.27216528654795e-08
"94" 8 7094660000 0.07089471 65.1751780821918 909295.766038356 0.0029826412 74884378800000 0.102114483999337 0 2.99423356134247e-08
"95" 470 3442728000 0.01215181 43.7966849315069 460274.54929863 0.000606452 35626087600000 0.0680896331829863 0.0127104860465753 5.56107149917808e-09
"96" 602 3527121000 0.01876865 29.680904109589 617644.500356164 0.000661584 3.5716566e+13 0.147930334854362 0 7.89964163013699e-09
"97" 641 3606155000 0.0850723 44.6156438356164 718850.469180822 0.0012459832 3.8001774e+13 0.0244560090082192 0.743353989041096 3.59257972610959e-08
"98" 708 4987171000 0.0675502 62.4910684931507 498905.977882192 0.0016870392 5.200192e+13 0.057707008569863 0 2.85821134356164e-08
"99" 709 9816280000 0.10411039 129.025178082192 819119.169252055 0.0026242832 106480818600000 0.0396010636767123 0 4.40213060030137e-08
"100" 728 6357822000 0.12754564 59.1336164383562 786786.85570137 0.0024202948 6.6798947e+13 0.072187717709589 0 5.3843518950411e-08
